bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,udps.srcdst_packet_size_variation,udps.srcdst_udp_packet_count,udps.udp_packet_count,udps.srcdst_tcp_packet_count,udps.tcp_packet_count,udps.srcdst_ack_packet_count,udps.ack_packet_count,udps.srcdst_fin_packet_count,udps.fin_packet_count,udps.srcdst_rst_packet_count,udps.rst_packet_count,udps.srcdst_psh_packet_count,udps.psh_packet_count,udps.srcdst_syn_packet_count,udps.syn_packet_count,udps.srcdst_unique_ports_count,udps.srcdst_icmp_packet_count,udps.icmp_packet_count,udps.srcdst_http_ports_count,udps.http_ports_count,udps.srcdst_bidirectional_duration_avg,udps.bidirectional_duration_avg,udps.srcdst_dns_port_count,udps.dns_port_count,udps.srcdst_dns_port_src_count,udps.dns_port_src_count,udps.srcdst_vul_ports_count,udps.src2dst_packet_count,udps.bidirectional_packet_count,udps.srcdst_src2dst_packet_count,udps.srcdst_bidirectional_packet_count,y_pred,pred_clean
0,3,17521,0,1,7017,987,7,18858,1233,1264.4735107421875,11.865097999572754,1276,1220,1229.53369140625,1.3748259561907616e-06,1238,1,0.0,0.0,2,0,72.34833526611328,192.23777770996094,129,0,73.71015930175781,175.34197998046875,387,0,23.97112274169922,2.6855537726078182e-05,0,0,0,0,0,9,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,689.8857421875,350,350,4,3,33,62,0,0,0,0,7,9,20,27,346,0,0,0,0,3044.66064453125,2952.194580078125,0,0,0,0,0,375,795,289,271,2,1
409,15,18726,0,1,2503,3323,1,10627,1069,1019.89892578125,0.0,1006,1046,1036.2850341796875,3.836829662322998,1055,1,2.6068458557128906,0.0,0,9,10.683965682983398,27.462535858154297,225,4,42.76810836791992,5.629426595987752e-05,129,0,7.888213986007031e-06,2.6855537726078182e-05,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,650.46630859375,350,348,1,4,7,9,1,0,0,6,9,2,15,4,350,0,0,0,0,3366.4775390625,764.9557495117188,5,5,0,0,3,524,279,1212,823,2,1
0,44,9437,2833,27,12464,989,10,0,460,495.1588134765625,9.13320255279541,538,464,482.6352844238281,13.161832809448242,517,2,18.247936248779297,0.0,0,0,32.609378814697266,105.28388214111328,734,0,30.18946647644043,5.629426595987752e-05,442,0,7.888213986007031e-06,174.57720947265625,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,245.55921936035156,19,34,2,1,13,18,1,0,5,2,10,9,23,8,44,0,0,0,1,3945.99853515625,1875.919677734375,2,3,0,0,0,2050,994,1967,1206,2,1
0,18,4800,0,1,12340,3461,8,10759,1368,1284.552490234375,11.912571907043457,1264,1341,1315.2396240234375,0.36736053228378296,1388,0,0.0,0.0,0,0,74.78771209716797,164.51466369628906,1,0,88.40385437011719,175.19073486328125,774,0,7.888213986007031e-06,2.6855537726078182e-05,23,0,0,0,0,5,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,726.2587890625,350,350,2,4,26,53,0,0,0,0,9,11,0,11,341,0,0,0,0,3651.597412109375,3540.698486328125,9,0,0,0,0,1056,1161,1397,1009,2,1
0,14,120,0,22,21192,2962,8,0,147,416.5446472167969,66.05300903320312,532,147,415.8028259277344,67.76951599121094,516,5,15.616352081298828,15.84866714477539,67,8,64.00238800048828,164.51466369628906,775,2,88.40385437011719,210.29547119140625,774,0,7.888213986007031e-06,2.6855537726078182e-05,0,0,0,0,0,14,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,1,0,0,188.75347900390625,12,12,0,1,39,53,0,0,0,0,9,11,0,23,11,0,0,1,2,3654.83740234375,3543.937255859375,7,8,0,0,7,578,580,577,578,0,1
0,1,17897,0,1,9441,1481,7,8083,1233,1234.5762939453125,2.3836755752563477,1210,1233,1233.957763671875,1.3748259561907616e-06,1230,0,0.0,7.923643589019775,11,0,53.36447525024414,54.80659103393555,387,0,73.71015930175781,175.34197998046875,258,0,7.888213986007031e-06,2.6855537726078182e-05,0,0,0,0,0,11,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,701.8101196289062,337,336,3,3,33,44,0,0,0,0,7,5,16,19,337,0,0,0,0,3044.66064453125,2952.194580078125,1,0,0,0,0,551,552,551,353,2,1
0,11,6246,0,4,12210,3461,8,0,1290,1272.0595703125,0.0,1347,1303,1250.608154296875,1.3748259561907616e-06,1323,2,15.616352081298828,2.634226083755493,0,0,64.00238800048828,164.51466369628906,388,0,88.51707458496094,105.01152801513672,905,0,7.888213986007031e-06,2.6855537726078182e-05,0,0,0,0,0,14,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,705.4252319335938,209,200,2,3,33,53,0,0,0,0,9,9,3,19,213,0,0,0,0,3651.597412109375,3540.698486328125,7,1,0,0,0,1119,1117,959,448,2,1
0,1,15441,0,1,13501,3453,10,18816,536,459.4825439453125,0.0,569,536,474.301025390625,1.3748259561907616e-06,541,6,18.20703887939453,0.0,78,0,74.7629623413086,192.1848907470703,0,0,103.21253967285156,245.560546875,904,0,7.888213986007031e-06,2.6855537726078182e-05,0,0,0,0,0,16,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,297.75067138671875,143,143,4,4,46,62,0,5,8,8,6,12,23,27,144,0,0,0,0,4261.13134765625,4131.833984375,6,10,0,0,0,7530,7532,7529,7530,2,1
660,28,42292,0,45,19382,2962,8,13489,320,524.6293334960938,62.141082763671875,569,320,525.4961547851562,46.82088088989258,541,5,15.616352081298828,0.0,0,6,74.81096649169922,164.51466369628906,516,9,88.40385437011719,0.27245619893074036,774,0,49.973426818847656,38.89547348022461,129,0,0,0,0,14,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,7,0,0,0,278.8994140625,46,46,4,4,39,53,0,3,8,8,9,11,23,23,46,0,0,0,0,3651.597412109375,3540.698486328125,7,10,0,0,0,2989,2196,2989,2989,2,1
2608,1,120,0,1,10552,3461,10,8080,497,476.69586181640625,7.124386787414551,482,488,487.6443176269531,1.3748259561907616e-06,412,2,18.247936248779297,0.0,22,5,32.04263687133789,82.36389923095703,388,5,44.25919723510742,105.28392791748047,905,0,64.12035369873047,2.6855537726078182e-05,0,0,0,0,0,7,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,236.1785430908203,336,335,4,3,46,27,0,0,3,8,7,12,10,11,346,1,1,0,1,3965.614501953125,1772.642333984375,9,4,0,0,9,1317,849,1658,1420,2,1
